Ano;Brasil;Colombia;Cuba;Republica dominicana;Venezuela;Panama;Costa Rica
1820;597;607;695;;460;;
1870;694;676;1065;;570;;
1913;758;845;2327;;1010;;
1929;1051;1589;1688;;2813;;1555
1940;1154;1868;1244;;2879;;1733
1950;1544;2161;2108;1071;5310;1854;1930
1973;3758;3546;2313;1982;9788;4068;4230
1980;5178;4244;2724;2403;10213;4824;4902
1990;4920;4826;2957;2471;8313;4466;4747
2010;6762;6982;3997;5361;9434;9198;7876
